Combined_Key,11/29/21,11/30/21,12/1/21,12/2/21,12/3/21,12/4/21
"Alabama, US",845284,845761,846297,847064,847659,848137
"Delaware, US",152904,153190,153762,154413,155149,155922
"Hawaii, US",87585,87664,87772,87898,88023,88147
"Ohio, US",1683472,1690217,1699161,1708292,1717876,1725669
"West Virginia, US",294014,294794,295949,297415,298659,299827
