Combined_Key,11/29/21,11/30/21,12/1/21,12/2/21,12/3/21,12/4/21
"Alabama, US",17239.488210214382,17249.216580651148,17260.1482505759,17275.791143919716,17287.926113332458,17297.6748786758
"Delaware, US",15702.367308711351,15731.737874885495,15790.47900723379,15857.332988280525,15932.915983749655,16012.298667849704
"Hawaii, US",6185.940536997697,6191.520137413551,6199.1479455769995,6208.047055101026,6216.875536771686,6225.63339058898
"Ohio, US",14402.06688282246,14459.770213275617,14536.285941603715,14614.401450924364,14696.392365537124,14763.061313531409
"West Virginia, US",16405.685471113702,16449.208686564216,16513.656524827482,16595.45785027679,16664.871799020948,16730.04502420839
