Combined_Key,11/29/21,11/30/21,12/1/21,12/2/21,12/3/21,12/4/21
"Alabama, US",16116,16119,16143,16157,16172,16185
"Delaware, US",2173,2178,2179,2182,2194,2194
"Hawaii, US",1018,1018,1026,1027,1028,1032
"Ohio, US",26587,26587,26587,26587,26851,26851
"West Virginia, US",4837,4868,4895,4945,4962,4962
