Province_State,Combined_Key,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21
New Jersey,"New Jersey, US",26607,26606,26614,26625,26629,26636,26645,26650,26650,26659,26665,26672,26681,26692,26695,26696,26715,26721,26731,26739,26750,26752,26755,26775,26796,26807,26826,26844,26849,26864,26882,26902,26919,26929,26942,26948,26952,26978,27007,27024,27039,27054,27058,27079,27101,27122,27148,27165,27182,27190,27202
New Mexico,"New Mexico, US",4410,4414,4415,4416,4419,4425,4425,4425,4425,4430,4437,4441,4446,4446,4446,4451,4455,4459,4463,4472,4472,4472,4481,4483,4488,4497,4505,4505,4505,4512,4518,4529,4544,4552,4552,4552,4552,4562,4577,4585,4605,4605,4605,4619,4631,4649,4662,4675,4675,4675,4689
New York,"New York, US",53650,53657,53670,53676,53691,53694,53729,53744,53750,53760,53799,53830,53842,53857,53880,53889,53926,53940,53959,53974,54012,54029,54054,54070,54100,54130,54152,54159,54199,54230,54254,54282,54333,54361,54378,54420,54449,54481,54500,54569,54599,54636,54656,54693,54733,54767,54809,54846,54865,54904,54927
North Carolina,"North Carolina, US",13635,13670,13679,13700,13724,13736,13736,13736,13759,13768,13790,13806,13826,13826,13826,13880,13895,13952,14005,14059,14059,14059,14120,14152,14212,14272,14319,14319,14319,14412,14468,14529,14625,14708,14708,14708,14708,14831,14894,15004,15075,15075,15075,15247,15305,15405,15520,15615,15615,15615,15776
North Dakota,"North Dakota, US",1570,1570,1571,1572,1572,1573,1573,1573,1573,1573,1574,1576,1576,1576,1576,1576,1579,1579,1580,1581,1582,1582,1582,1584,1587,1588,1592,1592,1592,1592,1592,1593,1594,1596,1596,1596,1596,1596,1599,1603,1603,1605,1605,1605,1608,1612,1616,1617,1618,1618,1618
Northern Mariana Islands,"Northern Mariana Islands, US",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ohio,"Ohio, US",20684,20694,20705,20712,20721,20731,20738,20755,20773,20788,20801,20822,20840,20858,20869,20894,20917,20943,20968,20993,21021,21051,21068,21105,21136,21160,21183,21207,21225,21251,21273,21302,21326,21347,21364,21382,21394,21408,21423,21435,21442,21454,21463,21471,21471,21471,21471,21471,21471,21471,21471
Oklahoma,"Oklahoma, US",7485,7485,7485,7531,7531,7531,7531,7531,7531,7531,7594,7594,7594,7594,7594,7594,7594,7676,7676,7676,7676,7676,7676,7676,7812,7812,7812,7812,7812,7812,7812,8001,8001,8001,8001,8001,8001,8001,8208,8208,8208,8208,8208,8208,8208,8440,8440,8440,8440,8440,8440
Oregon,"Oregon, US",2858,2863,2872,2877,2885,2889,2889,2889,2903,2912,2920,2928,2935,2935,2935,2949,2964,2975,2994,3012,3012,3012,3036,3066,3086,3095,3115,3115,3115,3155,3198,3221,3248,3272,3272,3272,3272,3312,3373,3394,3414,3414,3414,3446,3490,3536,3547,3569,3569,3569,3594
Pennsylvania,"Pennsylvania, US",27856,27857,27868,27883,27890,27898,27900,27900,27903,27914,27925,27941,27957,27966,27966,27966,27993,28018,28040,28059,28074,28075,28076,28098,28131,28158,28180,28205,28209,28214,28235,28235,28325,28352,28378,28393,28396,28408,28446,28498,28535,28564,28564,28568,28651,28696,28768,28812,28842,28858,28864
